Point Name,Line,Location,Terminal,Point Name,trend,count,Type,Contains Outliers
(CLX MLK) DC-06  M32T10i1,,,(CLX MLK) M32T10 ,(CLX MLK) DC-06  M32T10i1,"1,2,2",5,,False
(CLX MLK) DC-06 DR  M32T10D1,,,(CLX MLK) M32T10 ,(CLX MLK) DC-06 DR  M32T10D1,"1,2",3,,False
(CLX MLK) DC-07  M32T11i1,,,(CLX MLK) M32T11 ,(CLX MLK) DC-07  M32T11i1,"1,4,4,3",12,,False
(CLX MLK) DC-07 DR  M32T11D1,,,(CLX MLK) M32T11 ,(CLX MLK) DC-07 DR  M32T11D1,"1,4,4,3",12,,False
(CLX MLK) DC-08  M32T6i1,,,(CLX MLK) M32T6,(CLX MLK) DC-08  M32T6i1,4,4,,False
(CLX MLK) DC-08 DR  M32T6D1,,,(CLX MLK) M32T6,(CLX MLK) DC-08 DR  M32T6D1,4,4,,False
(CLX MLK) DC-09  M32T7i1,,,(CLX MLK) M32T7 ,(CLX MLK) DC-09  M32T7i1,"1,6,1,1",9,,False
(CLX MLK) DC-09 DR  M32T7D1,,,(CLX MLK) M32T7 ,(CLX MLK) DC-09 DR  M32T7D1,"1,6,1,1",9,,False
(CLX MLK) DC-10 CR-08  M32T8i2,,,(CLX MLK) M32T8 ,(CLX MLK) DC-10 CR-08  M32T8i2,"3,3,7,7",20,,False
(CLX MLK) DC-11  M32T8i1,,,(CLX MLK) M32T8,(CLX MLK) DC-11  M32T8i1,"1,1,1",3,,False
(CLX MLK) DC-12  M32T8i4,,,(CLX MLK) M32T8,(CLX MLK) DC-12  M32T8i4,1,1,,False
(CLX MLK) DC-13  M32T8i3,,,(CLX MLK) M32T8 ,(CLX MLK) DC-13  M32T8i3,"80,9,2,139,111,384",725,,True
(CLX MLK) DC-15  M32T9i2,,,(CLX MLK) M32T9 ,(CLX MLK) DC-15  M32T9i2,1,1,,False
(CLX MLK) DC-16  M32T4i4,,,(CLX MLK) M32T4 ,(CLX MLK) DC-16  M32T4i4,"8,8,3,8,1,5,9",42,,False
(CLX MLK) DC-18  M32T5i1,,,(CLX MLK) M32T5 ,(CLX MLK) DC-18  M32T5i1,"2,3,2",7,,False
(CLX MLK) DC-19  M32T5i2,,,(CLX MLK) M32T5 ,(CLX MLK) DC-19  M32T5i2,"1,35",36,,False
(CLX MLK) DC-20  M32T1i1,,,(CLX MLK) M32T1 ,(CLX MLK) DC-20  M32T1i1,"17,17,23,14",71,,False
(CLX MLK) DC-21  M32T1i4,,,(CLX MLK) M32T1 ,(CLX MLK) DC-21  M32T1i4,"1,3",4,,False
(CLX MLK) DC-23  M32T1i3,,,(CLX MLK) M32T1 ,(CLX MLK) DC-23  M32T1i3,"2,2",4,,False
(CLX MLK) DC-25  M32T3i3,,,(CLX MLK) M32T2 ,(CLX MLK) DC-25  M32T3i3,"1,3",4,,False
(CLX MLK) DC-26  M32T1i2,,,(CLX MLK) M32T1 ,(CLX MLK) DC-26  M32T1i2,2,2,,False
(CLX MLK) DC-31  M32T3i1,,,(CLX MLK) M32T3 ,(CLX MLK) DC-31  M32T3i1,"2,1,4,1",8,,False
(CLX MLK) DC-35  M32T3i2,,,(CLX MLK) M32T3 ,(CLX MLK) DC-35  M32T3i2,1,1,,False
(CLX MLK) DC-38  M32T3i4,,,(CLX MLK) M32T3,(CLX MLK) DC-38  M32T3i4,3,3,,False
(CLX MLK) DC-39  M32T3i3,,,(CLX MLK) M32T3 ,(CLX MLK) DC-39  M32T3i3,"6,12",18,,False
(CLX MLK) DC-41  M32T4i1,,,(CLX MLK) M32T4 ,(CLX MLK) DC-41  M32T4i1,10,10,,False
(CLX MLK) DC-43  M32T4i2,,,(CLX MLK) M32T4 ,(CLX MLK) DC-43  M32T4i2,11,11,,False
(CLX MLK) DC-47  M32T5i3,,,(CLX MLK) M32T5 ,(CLX MLK) DC-47  M32T5i3,"2,3,8,5,3,3",24,,True
(CLX MLK) DC-48  M32T13i2,,,(CLX MLK) M32T13 ,(CLX MLK) DC-48  M32T13i2,2,2,,False
(CLX MLK) DC-49 HATCH  M32T4i3,,,(CLX MLK) M32T4 ,(CLX MLK) DC-49 HATCH  M32T4i3,"1,1",2,HATCH,False
(CLX MLK) DC-50 HATCH  M32T3i1,,,(CLX MLK) M32T2 ,(CLX MLK) DC-50 HATCH  M32T3i1,1,1,HATCH,False
(CLX MLK) MARTIN LUTHER KING STATION  M32,,,System at PINSV,(CLX MLK) MARTIN LUTHER KING STATION  M32,1,1,,False
(CLX NOCH) NORTH OAK STREET CROSS HOUSE  M28T1D1,,,(CLX NOCH) NORTH OAK STREET CROSS HOUSE M28T1,(CLX NOCH) NORTH OAK STREET CROSS HOUSE  M28T1D1,"1,1",2,,False
(CLX NORTH CEDAR) CROSS HSE DR  M9T1D1,,,(CLX NORTH CEDAR) CROSS HOUSE M9T1,(CLX NORTH CEDAR) CROSS HSE DR  M9T1D1,3,3,,False
(CLX REDONDO) TPSS #6  M14,,,System at PINSVRHW,(CLX REDONDO) TPSS #6  M14,"1,1,1,1,1,1,1,1",8,,False
(CLX TPSS #5) M18,,,System at PINSVRHW,(CLX TPSS #5) M18,"1,1,1,1,1,1",6,,False
(CLX TPSS #8) DR  M19T1D1,,,(CLX TPSS #8) M19T1 ,(CLX TPSS #8) DR  M19T1D1,"2,4,4,3",13,,False
(CLX UG1) RADIO ROOM DR  M25T1D1,,,(CLX UG1) RADIO ROOM DR M25T1 ,(CLX UG1) RADIO ROOM DR  M25T1D1,2,2,,False
(CLX UG3) RADIO ROOM DR  M30T1D1,,,(CLX UG3) RADIO ROOM M30T1 ,(CLX UG3) RADIO ROOM DR  M30T1D1,"1,1",2,,False
(CLX VS) LPK CR-04 DR  M31T10D1,,,(CLX VS) LPK M31T10 ,(CLX VS) LPK CR-04 DR  M31T10D1,"3,1,3",7,,False
(CLX VS) LPK CR-05 DR  M31T3D1,,,(CLX VS) LPK M31T3 ,(CLX VS) LPK CR-05 DR  M31T3D1,"1,1",2,,False
(CLX VS) LPK CR-06 DR  M31T3D2,,,(CLX VS) LPK M31T3 ,(CLX VS) LPK CR-06 DR  M31T3D2,"4,2,1,1",8,,False
(CLX VS) LPK CR-07 DR  M31T4D1,,,(CLX VS) LPK M31T4 ,(CLX VS) LPK CR-07 DR  M31T4D1,"2,4,6,47",59,,False
(CLX VS) LPK CR-08 DR  M31T4D2,,,(CLX VS) LPK M31T4 ,(CLX VS) LPK CR-08 DR  M31T4D2,"1,1,2,2,3",9,,False
(CLX VS) LPK CR-11 DR  M31T6D1,,,(CLX VS) LPK M31T6 ,(CLX VS) LPK CR-11 DR  M31T6D1,"1,1,2,3",7,,False
(CLX VS) LPK DC-01  M31T10i1,,,(CLX VS) LPK M31T10 ,(CLX VS) LPK DC-01  M31T10i1,2,2,,False
(CLX VS) LPK DC-02  M31T10i4,,,(CLX VS) LPK M31T10 ,(CLX VS) LPK DC-02  M31T10i4,1,1,,False
(CLX VS) LPK DC-03  M31T10i3,,,(CLX VS) LPK M31T10,(CLX VS) LPK DC-03  M31T10i3,1,1,,False
(CLX VS) LPK DC-06  M31T13i1,,,(CLX VS) LPK M31T13 ,(CLX VS) LPK DC-06  M31T13i1,"1,2",3,,False
(CLX VS) LPK DC-06 DR  M31T13D1,,,(CLX VS) LPK M31T13 ,(CLX VS) LPK DC-06 DR  M31T13D1,"1,2",3,,False
(CLX VS) LPK DC-07  M31T12i1,,,(CLX VS) LPK M31T12,(CLX VS) LPK DC-07  M31T12i1,"2,1",3,,False
(CLX VS) LPK DC-07 DR  M31T12D1,,,(CLX VS) LPK M31T12,(CLX VS) LPK DC-07 DR  M31T12D1,"2,1",3,,False
(CLX VS) LPK DC-08 CR-04  M31T10i2,,,(CLX VS) LPK M31T10 ,(CLX VS) LPK DC-08 CR-04  M31T10i2,"3,1,3,2",9,,False
(CLX VS) LPK DC-09  M31T8i1,,,(CLX VS) LPK M31T8 ,(CLX VS) LPK DC-09  M31T8i1,1,1,,False
(CLX VS) LPK DC-09 DR  M31T8D1,,,(CLX VS) LPK M31T8 ,(CLX VS) LPK DC-09 DR  M31T8D1,1,1,,False
(CLX VS) LPK DC-10  M31T9i1,,,(CLX VS) LPK M31T9 ,(CLX VS) LPK DC-10  M31T9i1,2,2,,False
(CLX VS) LPK DC-10 DR  M31T9D1,,,(CLX VS) LPK M31T9 ,(CLX VS) LPK DC-10 DR  M31T9D1,2,2,,False
(CLX VS) LPK DC-11  M31T6i2,,,(CLX VS) LPK M31T6 ,(CLX VS) LPK DC-11  M31T6i2,"1,1,2,3,2",9,,False
(CLX VS) LPK DC-12  M31T6i1,,,(CLX VS) LPK M31T6 ,(CLX VS) LPK DC-12  M31T6i1,1,1,,False
(CLX VS) LPK DC-13  M31T6i4,,,(CLX VS) LPK M31T6 ,(CLX VS) LPK DC-13  M31T6i4,"39,1,18,76,33",167,,False
(CLX VS) LPK DC-19  M31T1i2,,,(CLX VS) LPK M31T1 ,(CLX VS) LPK DC-19  M31T1i2,"4,2,1,1",8,,False
(CLX VS) LPK DC-20  M31T1i4,,,(CLX VS) LPK M31T1 ,(CLX VS) LPK DC-20  M31T1i4,"6,1,2,1",10,,False
(CLX VS) LPK DC-21 CR-03  M31T2i2,,,(CLX VS) LPK M31T2 ,(CLX VS) LPK DC-21 CR-03  M31T2i2,"1,2,1,3,5",12,,False
(CLX VS) LPK DC-22  M31T2i1,,,(CLX VS) LPK M31T2 ,(CLX VS) LPK DC-22  M31T2i1,1,1,,False
(CLX VS) LPK DC-25  M31T3i3,,,(CLX VS) LPK M31T3 ,(CLX VS) LPK DC-25  M31T3i3,"8,2,1,1",12,,False
(CLX VS) LPK DC-26  M31T4i3,,,(CLX VS) LPK M31T4 ,(CLX VS) LPK DC-26  M31T4i3,"3,1,1",5,,False
(CLX VS) LPK DC-30  M31T4i4,,,(CLX VS) LPK M31T4 ,(CLX VS) LPK DC-30  M31T4i4,"1,1,6,5,156,67,5",241,,True
(CLX VS) LPK DC-31 CR-07  M31T4i2,,,(CLX VS) LPK M31T4 ,(CLX VS) LPK DC-31 CR-07  M31T4i2,"2,4,6,80,71",163,,False
(CLX VS) LPK DC-33  M31T3i2,,,(CLX VS) LPK M31T3 ,(CLX VS) LPK DC-33  M31T3i2,1,1,,False
(CLX VS) LPK DC-37 HATCH  M31T5i2,,,(CLX VS) LPK M31T5 ,(CLX VS) LPK DC-37 HATCH  M31T5i2,1,1,HATCH,False
(CLX VS) LPK DC-38 HATCH  M31T2i3,,,(CLX VS) LPK M31T2 ,(CLX VS) LPK DC-38 HATCH  M31T2i3,"2,1",3,HATCH,False
(CLX VS) LPK DC-39 CR-08  M31T4i1,,,(CLX VS) LPK M31T4 ,(CLX VS) LPK DC-39 CR-08  M31T4i1,"1,1,2,16,7,3",30,,True
(CLX VS) LPK DC-40  M31T5i4,,,(CLX VS) LPK M31T5 ,(CLX VS) LPK DC-40  M31T5i4,"3,4,1,15,2,10,6",41,,True
(CLX VS) LPK DC-41  M31T5i1,,,(CLX VS) LPK M31T5,(CLX VS) LPK DC-41  M31T5i1,"1,1,1",3,,False
(CLX VS) LPK DC-42  M31T5i3,,,(CLX VS) LPK M31T5 ,(CLX VS) LPK DC-42  M31T5i3,"2,1,2,1",6,,False
(CLX VS) LPK TC&C ROOM C-112 DR  M31T1D2,,,(CLX VS) LPK M31T1 ,(CLX VS) LPK TC&C ROOM C-112 DR  M31T1D2,"4,2,1",7,,False
(CLX VS) LPK VESTIBULE 2 C-108 DR  M31T2D1,,,(CLX VS) LPK M31T2 ,(CLX VS) LPK VESTIBULE 2 C-108 DR  M31T2D1,"1,2,1,3",7,,False
(CLX VS) LPK XRMRS NO-SO END C-110 DR  M31T1D1,,,(CLX VS) LPK M31T1 ,(CLX VS) LPK XRMRS NO-SO END C-110 DR  M31T1D1,"2,3,1",6,,False
(CLX WEST BOULEVARD) CROSS HOUSE  M15T1D1,,,(CLX WEST BOULEVARD) CROSS HOUSE M15T1 ,(CLX WEST BOULEVARD) CROSS HOUSE  M15T1D1,1,1,,False
(CLX WEST CENTURY) TPSS#2 DR  M2T1D1,,,(CLX WEST CENTURY) TPSS#2 DR M2T1,(CLX WEST CENTURY) TPSS#2 DR  M2T1D1,"2,1",3,,False
(D20-64)  130 DBL DOOR  M120T11D1,,,(D20-64) LOCATION 64 M120T11 ,(D20-64)  130 DBL DOOR  M120T11D1,"19,26,13,29,12,25,23,20,27",194,,False
(D20-64)  DOOR 101  M120T1D1,,,(D20-64) LOCATION 64 M120T1 ,(D20-64)  DOOR 101  M120T1D1,"1,2",3,,False
(D20-64)  DOOR 110  M120T8D2,,,(D20-64) LOCATION 64 M120T8 ,(D20-64)  DOOR 110  M120T8D2,"2,7,2,6,1,5,9,14,7",53,,True
(D20-64)  DOOR 121  M120T10D2,,,(D20-64) LOCATION 64 M120T10,(D20-64)  DOOR 121  M120T10D2,3,3,,False
(D20-64)  DOOR 122  M120T12D1,,,(D20-64) LOCATION 64 M120T12 ,(D20-64)  DOOR 122  M120T12D1,1,1,,False
(D20-64)  DOOR 132  M120T2D2,,,(D20-64) LOCATION 64 M120T2 ,(D20-64)  DOOR 132  M120T2D2,3,3,,False
(D20-64)  DOOR 153 N  M120T9D2,,,(D20-64) LOCATION 64 M120T9 ,(D20-64)  DOOR 153 N  M120T9D2,"1,2,2,2,1",8,,False
(D20-64)  DOOR 153 N/E  M120T9D1,,,(D20-64) LOCATION 64 M120T9 ,(D20-64)  DOOR 153 N/E  M120T9D1,"2,5,3,1,3,8,5,7",34,,False
(D20-64)  DOOR 155  M120T3D1,,,(D20-64) LOCATION 64 M120T3 ,(D20-64)  DOOR 155  M120T3D1,"3,4,1,2,1,2,2,2",17,,True
(D20-64)  DOOR 156  M120T4D1,,,(D20-64) LOCATION 64 M120T4 ,(D20-64)  DOOR 156  M120T4D1,2,2,,False
(D20-64)  DOOR 160  M120T4D2,,,(D20-64) LOCATION 64 M120T4 ,(D20-64)  DOOR 160  M120T4D2,"5,4,1,3,2,7,3,4,9",38,,True
(D20-64)  DOOR 236 N  M120T12D2,,,(D20-64) LOCATION 64 M120T12 ,(D20-64)  DOOR 236 N  M120T12D2,"49,51,1,33,4,35,58,50,43",324,,False
(D20-64)  DOOR 236 W  M120T5D2,,,(D20-64) LOCATION 64 M120T5 ,(D20-64)  DOOR 236 W  M120T5D2,"5,2,2,4,2,4,3",22,,False
(D20-64)  DOOR 302  M120T6D2,,,(D20-64) LOCATION 64 M120T6,(D20-64)  DOOR 302  M120T6D2,1,1,,False
(D20-64)  DOOR 310  M120T13D1,,,(D20-64) LOCATION 64 M120T13 ,(D20-64)  DOOR 310  M120T13D1,"2,3,1,1,1,4,2",14,,True
(D20-64)  DOOR 312  M120T14D1,,,(D20-64) LOCATION 64 M120T14 ,(D20-64)  DOOR 312  M120T14D1,"2,3,12,5,7,3,8",40,,True
(D20-64)  LOBBY 100  M120T8D1,,,(D20-64) LOCATION 64 M120T8 ,(D20-64)  LOBBY 100  M120T8D1,"3,2,2,6,4,4,7,4",32,,False
(D20-64)  STR 3 1ST FL  M120T2D1,,,(D20-64) LOCATION 64 M120T2,(D20-64)  STR 3 1ST FL  M120T2D1,1,1,,False
(D20-64) DOOR 212  M121T2D1,,,(D20-64) M121T2,(D20-64) DOOR 212  M121T2D1,"1,4",5,,False
(D20-64) DOOR 216  M121T3D1,,,(D20-64) M121T3 ,(D20-64) DOOR 216  M121T3D1,"1,7,2,3,2,7,11,2",35,,True
(HH) E STREET HATCH 6/7A  M115T12i2,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T12 ,(HH) E STREET HATCH 6/7A  M115T12i2,"1,1",2,HATCH,False
(HH) E STREET HATCH 6/7B  M115T12i3,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T12 ,(HH) E STREET HATCH 6/7B  M115T12i3,"1,1",2,HATCH,False
(HH) E STREET HATCH 6/7C  M115T12i4,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T12 ,(HH) E STREET HATCH 6/7C  M115T12i4,"1,1",2,HATCH,False
(HH) MEZ E AUX PWR RM G206  M115T11i1,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T11 ,(HH) MEZ E AUX PWR RM G206  M115T11i1,"1,2,1",4,,False
(HH) MEZ E AUX PWR RM G206 DR  M115T11D1,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T11 ,(HH) MEZ E AUX PWR RM G206 DR  M115T11D1,"1,2,1",4,,False
(HH) MEZ E EMR EIT STR 11  M115T10D2,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T10 ,(HH) MEZ E EMR EIT STR 11  M115T10D2,"3,1,5,1,1,1,2,1",15,,True
(HH) MEZ E EMR EXIT STR 11  M115T10i2,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T10 ,(HH) MEZ E EMR EXIT STR 11  M115T10i2,"3,1,5,1,1,1,2,1",15,,True
(HH) MEZ E VAL RM G212  M115T10i1,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T10 ,(HH) MEZ E VAL RM G212  M115T10i1,1,1,,False
(HH) MEZ E VAL RM G212 DR  M115T10D1,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T10 ,(HH) MEZ E VAL RM G212 DR  M115T10D1,1,1,,False
(HH) MEZ E VEST RM G210  M115T12i1,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T12 ,(HH) MEZ E VEST RM G210  M115T12i1,"3,4,2,10,1,2,2,3",27,,True
(HH) MEZ E VEST RM G210 DR  M115T12D1,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T12 ,(HH) MEZ E VEST RM G210 DR  M115T12D1,"3,4,2,10,1,2,2,3",27,,True
(HH) MEZ W AUX PWR RM A206N DR  M115T13D1,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T13 ,(HH) MEZ W AUX PWR RM A206N DR  M115T13D1,"4,2",6,,False
(HH) MEZ W AUX PWR RM A206N DR  M115T13i1,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T13 ,(HH) MEZ W AUX PWR RM A206N DR  M115T13i1,"4,2",6,,False
(HH) MEZ W CORR A209  M115T13i3,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T13 ,(HH) MEZ W CORR A209  M115T13i3,"6,2,6",14,,False
(HH) MEZ W CORR S207  M115T14i2,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T14 ,(HH) MEZ W CORR S207  M115T14i2,"62,53,60,70,86,156,68,70",625,,True
(HH) MEZ W ELE RM S215  M115T14i1,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T14 ,(HH) MEZ W ELE RM S215  M115T14i1,"3,1,1",5,,False
(HH) MEZ W ELE RM S215 DR  M115T14D1,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T14 ,(HH) MEZ W ELE RM S215 DR  M115T14D1,"3,1,1",5,,False
(HH) MEZ W EMR EXIT STR 3/4  M115T3D2,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T3 ,(HH) MEZ W EMR EXIT STR 3/4  M115T3D2,"6,2,8,14,9,7,5,7,5",63,,True
(HH) MEZW EMR EXIT STR 3/4  M115T3i2,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T3 ,(HH) MEZW EMR EXIT STR 3/4  M115T3i2,"6,2,8,14,9,7,5,7,5",63,,True
(HH) PLT E EMR EXIT STR 7  M115T16D1,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T16 ,(HH) PLT E EMR EXIT STR 7  M115T16D1,"49,22,64,48,51,41,38,66,53",432,,True
(HH) PLT E EMR Q RM G112  M115T5i3,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T5 ,(HH) PLT E EMR Q RM G112  M115T5i3,"1,1",2,,False
(HH) PLT W CUSTODIA RM A112  M115T8i4,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T8 ,(HH) PLT W CUSTODIA RM A112  M115T8i4,"6,13,12,13,12,10,7",73,,False
(HH) PLT W EMR EXIT STR 8  M115T15D1,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T15 ,(HH) PLT W EMR EXIT STR 8  M115T15D1,"19,4,18,27,7,6,7,8,14",110,,True
(HH) ROLLUP DOOR INT LCP DR  M115T2D2,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T2 ,(HH) ROLLUP DOOR INT LCP DR  M115T2D2,3,3,,False
(HH) ROOLUP DOOR CONTACT  M115T2i3,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T2 ,(HH) ROOLUP DOOR CONTACT  M115T2i3,"3,1,1,1,2,1,1,1,1",12,,True
(HH) TRK E TC&C RM G109  M115T5i1,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T5 ,(HH) TRK E TC&C RM G109  M115T5i1,"1,3",4,,False
(HH) TRK E TC&C RM G109 DR  M115T5D1,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T5 ,(HH) TRK E TC&C RM G109 DR  M115T5D1,"1,3",4,,False
(HH) W EMP  M115T6i2,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T6,(HH) W EMP  M115T6i2,3,3,,False
(HH) W PLAZA EXIT DOOR 3/4A  M115T3i3,MRL,Hollywood/Highland,(HH) HOLLYWOOD HIGHLAND M115T3 ,(HH) W PLAZA EXIT DOOR 3/4A  M115T3i3,"1,5,2,2",10,,False
(HS) ELECTRICAL MID AUX PWR RM  M126T4D2,MRL,Hortense,(HS) HORTENSE STREET M126T4 ,(HS) ELECTRICAL MID AUX PWR RM  M126T4D2,1,1,,False
(HS) ELECTRICAL S VEST RM 18  M126T4D1,MRL,Hortense,(HS) HORTENSE STREET M126T4 ,(HS) ELECTRICAL S VEST RM 18  M126T4D1,"1,1",2,,False
(HS) HS MECHANICAL RM 3  M126T3i4,MRL,Hortense,(HS) HORTENSE STREET M126T3,(HS) HS MECHANICAL RM 3  M126T3i4,3,3,,False
(HS) HS STAIRWAY NO 1 TRK LEVEL LANDING  M126T3i3,MRL,Hortense,(HS) HORTENSE STREET M126T3,(HS) HS STAIRWAY NO 1 TRK LEVEL LANDING  M126T3i3,1,1,,False
(HS) HS-X PASSAGE 101 AL TRK  M126T3i2,MRL,Hortense,(HS) HORTENSE STREET M126T3,(HS) HS-X PASSAGE 101 AL TRK  M126T3i2,2,2,,False
(HS) HS-X PASSAGE 101 AR TRK  M126T3i1,MRL,Hortense,(HS) HORTENSE STREET M126T3 ,(HS) HS-X PASSAGE 101 AR TRK  M126T3i1,176,176,,False
(HS) S STREET HATCH  M126T2i3,MRL,Hortense,(HS) HORTENSE STREET M126T2 ,(HS) S STREET HATCH  M126T2i3,"2,1",3,HATCH,False
(HV) E STREET HATCH 6/7B  M114T10i3,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T10 ,(HV) E STREET HATCH 6/7B  M114T10i3,1,1,HATCH,False
(HV) E STREET HATCH 6/7C  M114T10i4,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T10 ,(HV) E STREET HATCH 6/7C  M114T10i4,1,1,HATCH,False
(HV) EMR EXIT STR 3/4A  M114T9D2,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T9 ,(HV) EMR EXIT STR 3/4A  M114T9D2,"8,5,14,17,10,18,17,8,8",105,,False
(HV) MEX E AUX PWR RM 42  M114T9i1,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T9 ,(HV) MEX E AUX PWR RM 42  M114T9i1,1,1,,False
(HV) MEX E AUX PWR RM 42 DR  M114T9D1,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T9 ,(HV) MEX E AUX PWR RM 42 DR  M114T9D1,1,1,,False
(HV) MEZ E CORR 34 E  M114T11i1,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T11 ,(HV) MEZ E CORR 34 E  M114T11i1,"1,2,1",4,,False
(HV) MEZ E CORR 34 E DR  M114T11D1,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T11 ,(HV) MEZ E CORR 34 E DR  M114T11D1,"1,2,1",4,,False
(HV) MEZ E CORR 41 W  M114T10i1,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T10 ,(HV) MEZ E CORR 41 W  M114T10i1,1,1,,False
(HV) MEZ E CORR 41 W DR  M114T10D1,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T10 ,(HV) MEZ E CORR 41 W DR  M114T10D1,1,1,,False
(HV) MEZ E TPSS RM 45  M114T8i1,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T8 ,(HV) MEZ E TPSS RM 45  M114T8i1,"2,7,1",10,,False
(HV) MEZ E TPSS RM 45 DR  M114T8D1,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T8 ,(HV) MEZ E TPSS RM 45 DR  M114T8D1,"2,7,1",10,,False
(HV) MEZ MID TC & C RM 37  M114T14i1,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T14 ,(HV) MEZ MID TC & C RM 37  M114T14i1,"1,1,3,1",6,,False
(HV) MEZ MID TC & C RM 37 DR  M114T14D1,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T14 ,(HV) MEZ MID TC & C RM 37 DR  M114T14D1,"1,1,3,3",8,,False
(HV) MEZ W VALVE RM 59  M114T13i1,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T13 ,(HV) MEZ W VALVE RM 59  M114T13i1,5,5,,False
(HV) MEZ W VALVE RM 59 DR  M114T13D1,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T13 ,(HV) MEZ W VALVE RM 59 DR  M114T13D1,5,5,,False
(HV) MID MID CORR 31  M114T15i1,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T15 ,(HV) MID MID CORR 31  M114T15i1,"43,48,54,42,41,36,37,37,47",385,,True
(HV) MID ROLL UP DOOR CONTACT  M114T15i3,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T15 ,(HV) MID ROLL UP DOOR CONTACT  M114T15i3,"1,1,1,2,2,2,1,1,1",12,,False
(HV) MID STREET HATCH 4A  M114T9i3,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T9,(HV) MID STREET HATCH 4A  M114T9i3,1,1,HATCH,False
(HV) PLT AL EAST EMR GATE 2  M114T1i2,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T1 ,(HV) PLT AL EAST EMR GATE 2  M114T1i2,"1,1,1",3,Platform End Gate,False
(HV) PLT AR WEST EMR GATE 3  M114T1i3,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T1 ,(HV) PLT AR WEST EMR GATE 3  M114T1i3,"1,1,2,1,5",10,Platform End Gate,True
(HV) PLT E EMR EXIT STR 6 AL  M114T16D2,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T16 ,(HV) PLT E EMR EXIT STR 6 AL  M114T16D2,"3,3,4,10",20,,False
(HV) PLT E EMR EXIT STR 7 AR  M114T16D1,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T16 ,(HV) PLT E EMR EXIT STR 7 AR  M114T16D1,"11,5,6,6",28,,False
(HV) PLT W EMR EXIT STR 5  M114T6D2,MRL,Hollywood/Vine,(HV) HOLLYWOOD VINE M114T6 ,(HV) PLT W EMR EXIT STR 5  M114T6D2,"14,11,19,10,10,18,1,11,7",101,,True
